asset,closing_units,closing_cost_eur,avg_cost_eur_per_unit
ALGO,0.0027,0.000988636263205724,0.3661615789650829
ASTO,218931.70999999976,7449.655070097278,0.03402730043124994
CMP,0.0,0.0,0.0
DAG,187029.16,13385.7944133361,0.07157062788142822
ETH,0.0,0.0,0.0
GENOME,128724.2185,2393.6911374796778,0.0185954994745583
GORA,15051.496540000002,1535.2163427316175,0.1019975879907831
KFI,1175.4899999999977,1225.062170879564,1.0421714951888714
KLV,584307.0799999983,3375.6146379412103,0.005777124312683701
KUJI,693.73,2331.593858491766,3.360952904576371
LIFE,0.0,0.0,0.0
NTN,0.0,0.0,0.0
USDC,0.0,0.0,0.0
USDT,0.0,0.0,0.0
ZPAY,0.0,0.0,0.0
