month,account,asset,memo,debit,credit,posting_date,Reference
2024-01,262500 Cost of acquisition of crypto assets,BTC,okx Buy BTC - inventory at cost,227763.06,0.0,2024-01-31,CRYPTO ALL 2024-01
2024-01,262500 Cost of acquisition of crypto assets,DAI,okx Buy DAI - inventory at cost,2296.83,0.0,2024-01-31,CRYPTO ALL 2024-01
2024-01,262500 Cost of acquisition of crypto assets,DYDX,okx Buy DYDX - inventory at cost,9193.63,0.0,2024-01-31,CRYPTO ALL 2024-01
2024-01,262500 Cost of acquisition of crypto assets,ETH,okx Buy ETH - inventory at cost,190714.07,0.0,2024-01-31,CRYPTO ALL 2024-01
2024-01,262500 Cost of acquisition of crypto assets,PYTH,okx Buy PYTH - inventory at cost,4609.22,0.0,2024-01-31,CRYPTO ALL 2024-01
2024-01,262500 Cost of acquisition of crypto assets,TRX,okx Buy TRX - inventory at cost,495.05,0.0,2024-01-31,CRYPTO ALL 2024-01
2024-01,274200 Exchanges EUR,BTC,okx Buy BTC - cash outflow (cost + fees),0.0,227871.02,2024-01-31,CRYPTO ALL 2024-01
2024-01,274200 Exchanges EUR,DAI,okx Buy DAI - cash outflow (cost + fees),0.0,2297.98,2024-01-31,CRYPTO ALL 2024-01
2024-01,274200 Exchanges EUR,DYDX,okx Buy DYDX - cash outflow (cost + fees),0.0,9197.77,2024-01-31,CRYPTO ALL 2024-01
2024-01,274200 Exchanges EUR,ETH,okx Buy ETH - cash outflow (cost + fees),0.0,190806.25,2024-01-31,CRYPTO ALL 2024-01
2024-01,274200 Exchanges EUR,PYTH,okx Buy PYTH - cash outflow (cost + fees),0.0,4611.53,2024-01-31,CRYPTO ALL 2024-01
2024-01,274200 Exchanges EUR,TRX,okx Buy TRX - cash outflow (cost + fees),0.0,495.26,2024-01-31,CRYPTO ALL 2024-01
2024-01,631200 Other Costs and Bank Taxes,BTC,okx Buy BTC - fees,107.96,0.0,2024-01-31,CRYPTO ALL 2024-01
2024-01,631200 Other Costs and Bank Taxes,DAI,okx Buy DAI - fees,1.15,0.0,2024-01-31,CRYPTO ALL 2024-01
2024-01,631200 Other Costs and Bank Taxes,DYDX,okx Buy DYDX - fees,4.14,0.0,2024-01-31,CRYPTO ALL 2024-01
2024-01,631200 Other Costs and Bank Taxes,ETH,okx Buy ETH - fees,92.17,0.0,2024-01-31,CRYPTO ALL 2024-01
2024-01,631200 Other Costs and Bank Taxes,PYTH,okx Buy PYTH - fees,2.31,0.0,2024-01-31,CRYPTO ALL 2024-01
2024-01,631200 Other Costs and Bank Taxes,TRX,okx Buy TRX - fees,0.22,0.0,2024-01-31,CRYPTO ALL 2024-01
2024-02,262500 Cost of acquisition of crypto assets,AVAX,okx Buy AVAX - inventory at cost,9291.62,0.0,2024-02-29,CRYPTO ALL 2024-02
2024-02,262500 Cost of acquisition of crypto assets,BTC,okx Buy BTC - inventory at cost,903897.17,0.0,2024-02-29,CRYPTO ALL 2024-02
2024-02,262500 Cost of acquisition of crypto assets,ETH,okx Buy ETH - inventory at cost,4900.34,0.0,2024-02-29,CRYPTO ALL 2024-02
2024-02,262500 Cost of acquisition of crypto assets,FET,okx Buy FET - inventory at cost,2322.8,0.0,2024-02-29,CRYPTO ALL 2024-02
2024-02,262500 Cost of acquisition of crypto assets,INJ,okx Buy INJ - inventory at cost,4656.18,0.0,2024-02-29,CRYPTO ALL 2024-02
2024-02,262500 Cost of acquisition of crypto assets,TRX,okx Buy TRX - inventory at cost,184.39,0.0,2024-02-29,CRYPTO ALL 2024-02
2024-02,262500 Cost of acquisition of crypto assets,WOO,okx Buy WOO - inventory at cost,2327.29,0.0,2024-02-29,CRYPTO ALL 2024-02
2024-02,262500 Cost of acquisition of crypto assets,ZETA,okx Buy ZETA - inventory at cost,2326.95,0.0,2024-02-29,CRYPTO ALL 2024-02
2024-02,274200 Exchanges EUR,AVAX,okx Buy AVAX - cash outflow (cost + fees),0.0,9296.47,2024-02-29,CRYPTO ALL 2024-02
2024-02,274200 Exchanges EUR,BTC,okx Buy BTC - cash outflow (cost + fees),0.0,904328.92,2024-02-29,CRYPTO ALL 2024-02
2024-02,274200 Exchanges EUR,ETH,okx Buy ETH - cash outflow (cost + fees),0.0,4902.83,2024-02-29,CRYPTO ALL 2024-02
2024-02,274200 Exchanges EUR,FET,okx Buy FET - cash outflow (cost + fees),0.0,2323.91,2024-02-29,CRYPTO ALL 2024-02
2024-02,274200 Exchanges EUR,INJ,okx Buy INJ - cash outflow (cost + fees),0.0,4658.4,2024-02-29,CRYPTO ALL 2024-02
2024-02,274200 Exchanges EUR,TRX,okx Buy TRX - cash outflow (cost + fees),0.0,184.48,2024-02-29,CRYPTO ALL 2024-02
2024-02,274200 Exchanges EUR,WOO,okx Buy WOO - cash outflow (cost + fees),0.0,2328.46,2024-02-29,CRYPTO ALL 2024-02
2024-02,274200 Exchanges EUR,ZETA,okx Buy ZETA - cash outflow (cost + fees),0.0,2328.1,2024-02-29,CRYPTO ALL 2024-02
2024-02,631200 Other Costs and Bank Taxes,AVAX,okx Buy AVAX - fees,4.85,0.0,2024-02-29,CRYPTO ALL 2024-02
2024-02,631200 Other Costs and Bank Taxes,BTC,okx Buy BTC - fees,431.75,0.0,2024-02-29,CRYPTO ALL 2024-02
2024-02,631200 Other Costs and Bank Taxes,ETH,okx Buy ETH - fees,2.49,0.0,2024-02-29,CRYPTO ALL 2024-02
2024-02,631200 Other Costs and Bank Taxes,FET,okx Buy FET - fees,1.11,0.0,2024-02-29,CRYPTO ALL 2024-02
2024-02,631200 Other Costs and Bank Taxes,INJ,okx Buy INJ - fees,2.22,0.0,2024-02-29,CRYPTO ALL 2024-02
2024-02,631200 Other Costs and Bank Taxes,TRX,okx Buy TRX - fees,0.09,0.0,2024-02-29,CRYPTO ALL 2024-02
2024-02,631200 Other Costs and Bank Taxes,WOO,okx Buy WOO - fees,1.17,0.0,2024-02-29,CRYPTO ALL 2024-02
2024-02,631200 Other Costs and Bank Taxes,ZETA,okx Buy ZETA - fees,1.15,0.0,2024-02-29,CRYPTO ALL 2024-02
2024-03,262500 Cost of acquisition of crypto assets,ATOM,okx Buy ATOM - inventory at cost,18242.02,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,AVAX,okx Buy AVAX - inventory at cost,9762.88,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,AXS,okx Buy AXS - inventory at cost,4579.13,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,BNB,okx Buy BNB - inventory at cost,24234.33,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,BONK,okx Buy BONK - inventory at cost,21100.74,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,BTC,okx Buy BTC - inventory at cost,77072.97,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,CFX,okx Buy CFX - inventory at cost,64520.34,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,DOGE,okx Buy DOGE - inventory at cost,42923.98,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,ETH,okx Buy ETH - inventory at cost,8917.73,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,FET,okx Buy FET - inventory at cost,29606.28,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,FRONT,okx Buy FRONT - inventory at cost,36.66,0.0,2024-03-31,CRYPTO ALL 2024-03
