month,account,asset,memo,debit,credit,posting_date,Reference
2023-09,262500 Cost of acquisition of crypto assets,ETH,ETH withdrawal (inventory decrease),0.0,95.55,2023-09-30,CRYPTO ALL 2023-09
2023-09,273001 Liquidity Transfer,ETH,Transfer clearing,95.55,0.0,2023-09-30,CRYPTO ALL 2023-09
2023-09,274100 Crypto USD Wallets,USDC,Fee credit,0.0,0.03,2023-09-30,CRYPTO ALL 2023-09
2023-09,274200 Exchanges EUR,ETH,Fee credit,0.0,0.1,2023-09-30,CRYPTO ALL 2023-09
2023-09,631200 Other Costs and Bank Taxes,ETH,Fee paid,0.1,0.0,2023-09-30,CRYPTO ALL 2023-09
2023-09,631200 Other Costs and Bank Taxes,USDC,Fee paid,0.03,0.0,2023-09-30,CRYPTO ALL 2023-09
2023-10,262500 Cost of acquisition of crypto assets,TRX,TRX withdrawal (inventory decrease),0.0,18.55,2023-10-31,CRYPTO ALL 2023-10
2023-10,273001 Liquidity Transfer,TRX,Transfer clearing,18.55,0.0,2023-10-31,CRYPTO ALL 2023-10
2023-11,262500 Cost of acquisition of crypto assets,ETH,ETH withdrawal (inventory decrease),0.0,140.98,2023-11-30,CRYPTO ALL 2023-11
2023-11,273001 Liquidity Transfer,ETH,Transfer clearing,140.98,0.0,2023-11-30,CRYPTO ALL 2023-11
2023-11,274200 Exchanges EUR,ETH,Fee credit,0.0,0.07,2023-11-30,CRYPTO ALL 2023-11
2023-11,631200 Other Costs and Bank Taxes,ETH,Fee paid,0.07,0.0,2023-11-30,CRYPTO ALL 2023-11
2023-12,262500 Cost of acquisition of crypto assets,ETH,ETH withdrawal (inventory decrease),0.0,45.8,2023-12-31,CRYPTO ALL 2023-12
2023-12,262500 Cost of acquisition of crypto assets,TRX,TRX withdrawal (inventory decrease),0.0,6.21,2023-12-31,CRYPTO ALL 2023-12
2023-12,273001 Liquidity Transfer,ETH,Transfer clearing,45.8,0.0,2023-12-31,CRYPTO ALL 2023-12
2023-12,273001 Liquidity Transfer,TRX,Transfer clearing,6.21,0.0,2023-12-31,CRYPTO ALL 2023-12
2023-12,274200 Exchanges EUR,ETH,Fee credit,0.0,0.02,2023-12-31,CRYPTO ALL 2023-12
2023-12,274200 Exchanges EUR,TRX,Fee credit,0.0,0.0,2023-12-31,CRYPTO ALL 2023-12
2023-12,631200 Other Costs and Bank Taxes,ETH,Fee paid,0.02,0.0,2023-12-31,CRYPTO ALL 2023-12
2023-12,631200 Other Costs and Bank Taxes,TRX,Fee paid,0.0,0.0,2023-12-31,CRYPTO ALL 2023-12
2024-01,262500 Cost of acquisition of crypto assets,BTC,BTC withdrawal (inventory decrease),0.0,223891.89,2024-01-31,CRYPTO ALL 2024-01
2024-01,262500 Cost of acquisition of crypto assets,DAI,DAI withdrawal (inventory decrease),0.0,2291.24,2024-01-31,CRYPTO ALL 2024-01
2024-01,262500 Cost of acquisition of crypto assets,ETH,ETH withdrawal (inventory decrease),0.0,190316.08,2024-01-31,CRYPTO ALL 2024-01
2024-01,262500 Cost of acquisition of crypto assets,TRX,TRX withdrawal (inventory decrease),0.0,492.6,2024-01-31,CRYPTO ALL 2024-01
2024-01,273001 Liquidity Transfer,BTC,Transfer clearing,223891.89,0.0,2024-01-31,CRYPTO ALL 2024-01
2024-01,273001 Liquidity Transfer,DAI,Transfer clearing,2291.24,0.0,2024-01-31,CRYPTO ALL 2024-01
2024-01,273001 Liquidity Transfer,ETH,Transfer clearing,190316.08,0.0,2024-01-31,CRYPTO ALL 2024-01
2024-01,273001 Liquidity Transfer,TRX,Transfer clearing,492.6,0.0,2024-01-31,CRYPTO ALL 2024-01
2024-01,274200 Exchanges EUR,BTC,Fee credit,0.0,109.75,2024-01-31,CRYPTO ALL 2024-01
2024-01,274200 Exchanges EUR,DAI,Fee credit,0.0,1.15,2024-01-31,CRYPTO ALL 2024-01
2024-01,274200 Exchanges EUR,DYDX,Fee credit,0.0,8.53,2024-01-31,CRYPTO ALL 2024-01
2024-01,274200 Exchanges EUR,ETH,Fee credit,0.0,92.17,2024-01-31,CRYPTO ALL 2024-01
2024-01,274200 Exchanges EUR,PYTH,Fee credit,0.0,2.31,2024-01-31,CRYPTO ALL 2024-01
2024-01,274200 Exchanges EUR,TRX,Fee credit,0.0,0.22,2024-01-31,CRYPTO ALL 2024-01
2024-01,631200 Other Costs and Bank Taxes,BTC,Fee paid,109.75,0.0,2024-01-31,CRYPTO ALL 2024-01
2024-01,631200 Other Costs and Bank Taxes,DAI,Fee paid,1.15,0.0,2024-01-31,CRYPTO ALL 2024-01
2024-01,631200 Other Costs and Bank Taxes,DYDX,Fee paid,8.53,0.0,2024-01-31,CRYPTO ALL 2024-01
2024-01,631200 Other Costs and Bank Taxes,ETH,Fee paid,92.17,0.0,2024-01-31,CRYPTO ALL 2024-01
2024-01,631200 Other Costs and Bank Taxes,PYTH,Fee paid,2.31,0.0,2024-01-31,CRYPTO ALL 2024-01
2024-01,631200 Other Costs and Bank Taxes,TRX,Fee paid,0.22,0.0,2024-01-31,CRYPTO ALL 2024-01
2024-02,262500 Cost of acquisition of crypto assets,BTC,BTC withdrawal (inventory decrease),0.0,873887.33,2024-02-29,CRYPTO ALL 2024-02
2024-02,262500 Cost of acquisition of crypto assets,ETH,ETH withdrawal (inventory decrease),0.0,4976.99,2024-02-29,CRYPTO ALL 2024-02
2024-02,262500 Cost of acquisition of crypto assets,TRX,TRX withdrawal (inventory decrease),0.0,183.79,2024-02-29,CRYPTO ALL 2024-02
