month,account,debit,credit,asset,memo,posting_date,Reference
2023-09,274200 Exchanges EUR,346.78,0.0,ZPAY,Sells proceeds ZPAY,2023-09-30,CRYPTO ALL 2023-09
2023-09,262500 Cost of acquisition of crypto assets,0.0,306.53,ZPAY,Relieve cost ZPAY,2023-09-30,CRYPTO ALL 2023-09
2023-09,540100 Other Income,0.0,40.25,ZPAY,Realized PnL before fees ZPAY,2023-09-30,CRYPTO ALL 2023-09
2023-10,274200 Exchanges EUR,121.5,0.0,CMP,Sells proceeds CMP,2023-10-31,CRYPTO ALL 2023-10
2023-10,262500 Cost of acquisition of crypto assets,0.0,0.0,CMP,Relieve cost CMP,2023-10-31,CRYPTO ALL 2023-10
2023-10,540100 Other Income,0.0,121.5,CMP,Realized PnL before fees CMP,2023-10-31,CRYPTO ALL 2023-10
2023-11,274200 Exchanges EUR,1481.26,0.0,CMP,Sells proceeds CMP,2023-11-30,CRYPTO ALL 2023-11
2023-11,262500 Cost of acquisition of crypto assets,0.0,0.02,CMP,Relieve cost CMP,2023-11-30,CRYPTO ALL 2023-11
2023-11,540100 Other Income,0.0,1481.24,CMP,Realized PnL before fees CMP,2023-11-30,CRYPTO ALL 2023-11
2023-11,274200 Exchanges EUR,22226.84,0.0,KFI,Sells proceeds KFI,2023-11-30,CRYPTO ALL 2023-11
2023-11,262500 Cost of acquisition of crypto assets,0.0,21818.3,KFI,Relieve cost KFI,2023-11-30,CRYPTO ALL 2023-11
2023-11,540100 Other Income,0.0,408.53,KFI,Realized PnL before fees KFI,2023-11-30,CRYPTO ALL 2023-11
2023-12,274200 Exchanges EUR,12002.29,0.0,KFI,Sells proceeds KFI,2023-12-31,CRYPTO ALL 2023-12
2023-12,262500 Cost of acquisition of crypto assets,0.0,11939.63,KFI,Relieve cost KFI,2023-12-31,CRYPTO ALL 2023-12
2023-12,540100 Other Income,0.0,62.67,KFI,Realized PnL before fees KFI,2023-12-31,CRYPTO ALL 2023-12
2024-08,274200 Exchanges EUR,2168.32,0.0,ASTO,Sells proceeds ASTO,2024-08-31,CRYPTO ALL 2024-08
2024-08,262500 Cost of acquisition of crypto assets,0.0,1821.14,ASTO,Relieve cost ASTO,2024-08-31,CRYPTO ALL 2024-08
2024-08,631200 Other Costs and Bank Taxes,0.01,0.0,ASTO,Trading fees ASTO,2024-08-31,CRYPTO ALL 2024-08
2024-08,540100 Other Income,0.0,347.19,ASTO,Realized PnL before fees ASTO,2024-08-31,CRYPTO ALL 2024-08
2024-09,274200 Exchanges EUR,15590.25,0.0,ASTO,Sells proceeds ASTO,2024-09-30,CRYPTO ALL 2024-09
2024-09,262500 Cost of acquisition of crypto assets,0.0,14753.15,ASTO,Relieve cost ASTO,2024-09-30,CRYPTO ALL 2024-09
2024-09,631200 Other Costs and Bank Taxes,0.3,0.0,ASTO,Trading fees ASTO,2024-09-30,CRYPTO ALL 2024-09
2024-09,540100 Other Income,0.0,837.4,ASTO,Realized PnL before fees ASTO,2024-09-30,CRYPTO ALL 2024-09
2024-11,274200 Exchanges EUR,23595.71,0.0,ASTO,Sells proceeds ASTO,2024-11-30,CRYPTO ALL 2024-11
2024-11,262500 Cost of acquisition of crypto assets,0.0,17648.17,ASTO,Relieve cost ASTO,2024-11-30,CRYPTO ALL 2024-11
