month,account,debit,credit,asset,memo,posting_date,Reference,year_month
2024-03,274200 Exchanges EUR,547.7,0.0,BNB,Sells proceeds BNB,2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,262500 Cost of acquisition of crypto assets,0.0,483.91,BNB,Relieve cost BNB,2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,631200 Other Costs and Bank Taxes,0.25,0.0,BNB,Trading fees BNB,2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,540100 Other Income,0.0,64.03,BNB,Realized PnL before fees BNB,2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,262500 Cost of acquisition of crypto assets,24234.33,0.0,BNB,okx Buy BNB - inventory at cost,2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,274200 Exchanges EUR,0.0,24244.03,BNB,okx Buy BNB - cash outflow (cost + fees),2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,631200 Other Costs and Bank Taxes,9.7,0.0,BNB,okx Buy BNB - fees,2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,262500 Cost of acquisition of crypto assets,29344.99,0.0,BNB,okx BNB deposit (inventory increase),2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,262500 Cost of acquisition of crypto assets,0.0,53753.01,BNB,okx BNB withdrawal (inventory decrease),2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,273001 Liquidity Transfer,53753.01,29344.99,BNB,okx Transfer clearing,2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,274200 Exchanges EUR,0.0,9.95,BNB,okx Fee credit,2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,631200 Other Costs and Bank Taxes,9.95,0.0,BNB,okx Fee paid,2024-03-31,CRYPTO ALL 2024-03,2024-03
