month,account,debit,credit,asset,memo,posting_date,Reference,year_month
2024-03,274200 Exchanges EUR,118.93,0.0,BONK,Sells proceeds BONK,2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,262500 Cost of acquisition of crypto assets,0.0,88.81,BONK,Relieve cost BONK,2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,631200 Other Costs and Bank Taxes,0.05,0.0,BONK,Trading fees BONK,2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,540100 Other Income,0.0,30.18,BONK,Realized PnL before fees BONK,2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,262500 Cost of acquisition of crypto assets,21100.74,0.0,BONK,okx Buy BONK - inventory at cost,2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,274200 Exchanges EUR,0.0,21109.96,BONK,okx Buy BONK - cash outflow (cost + fees),2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,631200 Other Costs and Bank Taxes,9.23,0.0,BONK,okx Buy BONK - fees,2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,262500 Cost of acquisition of crypto assets,0.0,19735.64,BONK,okx BONK withdrawal (inventory decrease),2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,273001 Liquidity Transfer,19735.64,0.0,BONK,okx Transfer clearing,2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,274200 Exchanges EUR,0.0,9.28,BONK,okx Fee credit,2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,631200 Other Costs and Bank Taxes,9.28,0.0,BONK,okx Fee paid,2024-03-31,CRYPTO ALL 2024-03,2024-03
