month,account,debit,credit,asset,memo,posting_date,Reference,year_month
2024-03,274200 Exchanges EUR,60451.45,0.0,BTC,Sells proceeds BTC,2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,262500 Cost of acquisition of crypto assets,0.0,59493.21,BTC,Relieve cost BTC,2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,631200 Other Costs and Bank Taxes,60.51,0.0,BTC,Trading fees BTC,2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,540100 Other Income,0.0,1018.76,BTC,Realized PnL before fees BTC,2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,262500 Cost of acquisition of crypto assets,27.41,0.0,BTC,binance Buy BTC - inventory at cost,2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,274200 Exchanges EUR,0.0,27.44,BTC,binance Buy BTC - cash outflow (cost + fees),2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,631200 Other Costs and Bank Taxes,0.03,0.0,BTC,binance Buy BTC - fees,2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,262500 Cost of acquisition of crypto assets,59466.37,0.0,BTC,binance BTC deposit (inventory increase),2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,273001 Liquidity Transfer,0.0,59466.37,BTC,binance Transfer clearing,2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,274200 Exchanges EUR,0.0,60.54,BTC,binance Fee credit,2024-03-31,CRYPTO ALL 2024-03,2024-03
2024-03,631200 Other Costs and Bank Taxes,60.54,0.0,BTC,binance Fee paid,2024-03-31,CRYPTO ALL 2024-03,2024-03
