month,account,debit,credit,asset,memo,posting_date,Reference,year_month
2024-05,274200 Exchanges EUR,146031.71,0.0,ETH,Sells proceeds ETH,2024-05-31,CRYPTO ALL 2024-05,2024-05
2024-05,262500 Cost of acquisition of crypto assets,0.0,145832.4,ETH,Relieve cost ETH,2024-05-31,CRYPTO ALL 2024-05,2024-05
2024-05,631200 Other Costs and Bank Taxes,70.42,0.0,ETH,Trading fees ETH,2024-05-31,CRYPTO ALL 2024-05,2024-05
2024-05,540100 Other Income,0.0,269.73,ETH,Realized PnL before fees ETH,2024-05-31,CRYPTO ALL 2024-05,2024-05
2024-05,262500 Cost of acquisition of crypto assets,289872.9,0.0,ETH,okx Buy ETH - inventory at cost,2024-05-31,CRYPTO ALL 2024-05,2024-05
2024-05,274200 Exchanges EUR,0.0,290009.33,ETH,okx Buy ETH - cash outflow (cost + fees),2024-05-31,CRYPTO ALL 2024-05,2024-05
2024-05,631200 Other Costs and Bank Taxes,136.43,0.0,ETH,okx Buy ETH - fees,2024-05-31,CRYPTO ALL 2024-05,2024-05
2024-05,262500 Cost of acquisition of crypto assets,145844.08,0.0,ETH,okx ETH deposit (inventory increase),2024-05-31,CRYPTO ALL 2024-05,2024-05
2024-05,262500 Cost of acquisition of crypto assets,0.0,284674.08,ETH,okx ETH withdrawal (inventory decrease),2024-05-31,CRYPTO ALL 2024-05,2024-05
2024-05,273001 Liquidity Transfer,284674.08,145844.08,ETH,okx Transfer clearing,2024-05-31,CRYPTO ALL 2024-05,2024-05
2024-05,274200 Exchanges EUR,0.0,206.84,ETH,okx Fee credit,2024-05-31,CRYPTO ALL 2024-05,2024-05
2024-05,631200 Other Costs and Bank Taxes,206.84,0.0,ETH,okx Fee paid,2024-05-31,CRYPTO ALL 2024-05,2024-05
