date_utc,exchange,txid,source,event_type,base_ccy,quote_ccy,side,qty_base,qty_quote,price_quote_per_base,fee,fee_ccy,eur_amount,eur_fee,notes,date,quote_ccy_raw,fee_ccy_raw,quote_ccy_rate,fee_ccy_rate,eur_per_quote,eur_per_fee,base_ccy_raw,base_ccy_rate,eur_per_base
2024-12-31 11:16:00+00:00,binance,5f9167f6b3ccf20a,trades,trade,BTC,USDT,sell,-0.18608,17510.128,94100.0,17.510128,USDT,16854.4883977384,16.8544883977384,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,a1d470cac75d1ede,trades,trade,BTC,USDT,sell,-6e-05,5.6462244,94103.74,0.00564622,USDT,5.43481027898982,0.005434806043741,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,dfc6be5892d57d3e,trades,trade,BTC,USDT,sell,-0.01,941.0399000000001,94103.99,0.9410399,USDT,905.8041195563451,0.905804119556345,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,e3956f523fe1a064,trades,trade,BTC,USDT,sell,-0.0531,4996.921869000001,94103.99,4.99692187,USDT,4809.819874844193,4.809819875806749,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,8ddeeeac794d9dd7,trades,trade,BTC,USDT,sell,-0.07595,7147.1980405,94103.99,7.14719804,USDT,6879.58228803044,6.8795822875491615,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,a1d470cac75d1ede,trades,trade,BTC,USDT,sell,-6e-05,5.6462244,94103.74,0.00564622,USDT,5.43481027898982,0.005434806043741,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,aeecf2f7a9f10a96,trades,trade,BTC,USDT,sell,-6e-05,5.646225,94103.75,0.00564623,USDT,5.43481085652375,0.0054348156693065,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,5afaf3ab46f0126e,trades,trade,BTC,USDT,sell,-0.05403,5084.4385797,94103.99,5.08443858,USDT,4894.059657962932,4.894059658251698,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,b259dc479f5daa44,trades,trade,BTC,USDT,sell,-0.0425,3999.2925000000005,94101.0,3.9992925,USDT,3849.5451912408753,3.849545191240875,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,2e717437a994d203,trades,trade,BTC,USDT,sell,-0.00508,478.028,94100.0,0.478028,USDT,460.1289824834,0.4601289824834,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
