date_utc,exchange,txid,source,event_type,base_ccy,quote_ccy,side,qty_base,qty_quote,price_quote_per_base,fee,fee_ccy,eur_amount,eur_fee,notes
2023-06-20 15:32:38+00:00,Kraken,RSOEHUB-2EACUX-5SOQDN,ledger,deposit,USDT,,,10,,,0,,9.14662032,,
2023-06-20 15:39:43+00:00,Kraken,RSOEP2M-5MIWQS-63FECO,ledger,deposit,USDT,,,53891.5,,,0,,49292.5089,,
2023-06-20 15:44:42+00:00,Kraken,BSN7VFF-WS7FVI-Q6ARPE,ledger,withdrawal,USDT,,,-10,,,2.5,USDT,-9.14662032,2.28665508,
2023-06-20 18:08:02+00:00,Kraken,BSNUDT2-4S2DXR-YYKS5F,ledger,withdrawal,USDT,,,-53285,,,2.5,USDT,-48737.76638,2.28665508,
2023-06-22 11:23:42+00:00,Kraken,A4N2XRL-IOU46O-52N4TZ,ledger,withdrawal,USDT,,,-10,,,5,USDT,-9.10332271,4.551661355,
2023-06-22 11:44:34+00:00,Kraken,RSOZUPY-6PYV3P-CRGJZN,ledger,deposit,USDT,,,52924.05,,,0,,48178.47063,,
2023-06-22 11:55:22+00:00,Kraken,A4NVTXR-7AI2BW-PC7BL3,ledger,withdrawal,USDT,,,-52115.19175,,,5,USDT,-47442.14086,4.551661355,
2023-06-22 13:40:25+00:00,Kraken,RSODHRH-STP62A-CMBH4M,ledger,deposit,USDT,,,63708.5,,,0,,57995.90349,,
2023-06-22 13:49:42+00:00,Kraken,BSNYHG2-5VLC2E-OUETGI,ledger,withdrawal,USDT,,,-63020,,,2.5,USDT,-57369.13972,2.275830678,
2023-06-22 15:36:02+00:00,Kraken,BSNWFNB-TKXWP3-H7A2IP,ledger,withdrawal,USDT,,,-10,,,2.5,USDT,-9.10332271,2.275830678,
2023-06-22 15:44:22+00:00,Kraken,BSNXAZI-3ROUFT-VULWFY,ledger,withdrawal,USDT,,,-2061.3582,,,2.5,USDT,-1876.520892,2.275830678,
2023-06-23 14:04:27+00:00,Kraken,RSOZQEM-AHVB2S-WME6D3,ledger,deposit,USDT,,,27274.04,,,0,,25058.83865,,
2023-06-23 14:23:02+00:00,Kraken,A4N2ITG-NSCSM6-GQHB2X,ledger,withdrawal,USDT,,,-26860,,,5,USDT,-24678.42704,4.5938993,
2023-06-27 04:50:50+00:00,Kraken,RSOXM7G-3HKBRS-QYNCC5,ledger,deposit,USDT,,,10,,,0,,9.13158616,,
2023-06-27 08:30:39+00:00,Kraken,RSO4RB2-RARIGA-WVGBKT,ledger,deposit,USDT,,,138500,,,0,,126472.4683,,
2023-06-27 10:48:43+00:00,Kraken,BSNIC6B-TOUJ2U-ZDXQ4B,ledger,withdrawal,USDT,,,-37635,,,2.5,USDT,-34366.72451,2.28289654,
2023-06-27 14:29:49+00:00,Kraken,BSNBCCJ-KSJRTO-GVNJSL,ledger,withdrawal,USDT,,,-43960,,,2.5,USDT,-40142.45276,2.28289654,
2023-06-27 16:48:29+00:00,Kraken,BSNUDLA-AVETUX-IXCIQ5,ledger,withdrawal,USDT,,,-10,,,2.5,USDT,-9.13158616,2.28289654,
2023-06-27 16:58:13+00:00,Kraken,RSOXPF3-K564K7-OIA52E,ledger,deposit,USDT,,,9,,,0,,8.218427544,,
2023-06-27 17:12:49+00:00,Kraken,BSN632F-7IFQMG-LKE7UW,ledger,withdrawal,USDT,,,-57313.04,,,2.5,USDT,-52335.89629,2.28289654,
2023-06-28 07:54:19+00:00,Kraken,RSOI33N-YMMHQW-BJHRTH,ledger,deposit,USDT,,,200000,,,0,,182848.784,,
2023-06-28 11:11:08+00:00,Kraken,T2MTU7-NPKWL-QEHIXZ,ledger,trade,USDT,,,-500.00267,,,0,,-457.124401,,
2023-06-28 11:11:08+00:00,Kraken,T2MTU7-NPKWL-QEHIXZ,ledger,trade,ETH,,,0.26833823,,,0.00069768,ETH,457.124401,1.188524468,
2023-06-28 11:11:08.143000+00:00,Kraken,OX2N2S-WX3SP-LXAYRH,trades,trade,ETH,USDT,buy,0.26833823,-500.00267,1863.33,1.30001,USDT,-457.124401,1.188526238,
2023-06-28 11:13:49+00:00,Kraken,A2BR4B4-J5IQIK-YGJX6B,ledger,withdrawal,ETH,,,-0.005,,,0.003,ETH,-8.517690547,5.110614328,
2023-06-28 11:17:57+00:00,Kraken,A2BG233-S5IQEN-6QT7DE,ledger,withdrawal,ETH,,,-0.25664,,,0.003,ETH,-437.1960204,5.110614328,
2023-06-28 11:20:29+00:00,Kraken,A4NY2VU-HYFVWF-O3FTBG,ledger,withdrawal,USDT,,,-61815.80151,,,5,USDT,-56514.72069,4.5712196,
2023-06-28 16:28:37+00:00,Kraken,BSNPLPP-SEV7J2-2SHSXR,ledger,withdrawal,USDT,,,-10,,,2.5,USDT,-9.1424392,2.2856098,
2023-06-28 16:44:49+00:00,Kraken,BSNFUYH-RMPD7J-KHJW6B,ledger,withdrawal,USDT,,,-136092.32,,,2.5,USDT,-124421.5761,2.2856098,
2023-06-29 10:09:02+00:00,Kraken,RSOUPPP-ZX37MJ-K7TOSP,ledger,deposit,USDT,,,200,,,0,,182.848784,,
2023-06-29 10:16:35+00:00,Kraken,RSOEILP-35WXYG-3T7PLP,ledger,deposit,USDT,,,25520,,,0,,23331.50484,,
2023-06-29 11:53:20+00:00,Kraken,RSOQHTZ-QT6WQF-JLPHG5,ledger,deposit,USDT,,,30716.11,,,0,,28082.01681,,
2023-06-29 12:04:44+00:00,Kraken,BSN5RCF-KUGZRS-ZTWIVY,ledger,withdrawal,USDT,,,-10,,,2.5,USDT,-9.1424392,2.2856098,
2023-06-29 12:07:32+00:00,Kraken,BSNMMEA-TGM74Y-GINGYS,ledger,withdrawal,USDT,,,-39296.25,,,2.5,USDT,-35926.35764,2.2856098,
2023-06-29 13:10:24+00:00,Kraken,BSNEQGE-CKF7VG-SV3SR7,ledger,withdrawal,USDT,,,-16127.9,,,2.5,USDT,-14744.83452,2.2856098,
2023-06-29 15:06:20+00:00,Kraken,Q4NWVVQ-V34GIP-A7L6RW,ledger,deposit,USDT,,,100,,,0,,91.424392,,
2023-06-29 15:27:45+00:00,Kraken,RSO7VIM-CHJS6U-5IQBN3,ledger,deposit,USDT,,,68402.11,,,0,,62536.21318,,
2023-06-29 15:35:12+00:00,Kraken,BSN7RWM-FNUXRO-Y5U6ZT,ledger,withdrawal,USDT,,,-37275,,,2.5,USDT,-34078.44212,2.2856098,
2023-06-29 18:12:44+00:00,Kraken,BSNBKIW-CY6RLI-CNWT3J,ledger,withdrawal,USDT,,,-33688.4458,,,2.5,USDT,-30799.45675,2.2856098,
2023-06-30 09:05:41+00:00,Kraken,RSIYAQL-D7PV2V-6ISVAH,ledger,deposit,USDC,,,100,,,0,,92.0301859,,
2023-06-30 09:13:47+00:00,Kraken,RSIQDYI-XOXTG4-7MP4W3,ledger,deposit,USDC,,,4900,,,0,,4509.479109,,
2023-06-30 10:20:06+00:00,Kraken,Q4NZS56-NXX25Q-OT2Q6J,ledger,deposit,USDT,,,20,,,0,,18.40603718,,
2023-06-30 10:37:30+00:00,Kraken,Q4NGK4W-ZHGEYI-2NUY2N,ledger,deposit,USDT,,,375000,,,0,,345113.1971,,
2023-06-30 11:44:14+00:00,Kraken,BSHYLI7-QLGT43-GUMRZW,ledger,withdrawal,USDC,,,-10,,,2.5,USDC,-9.20301859,2.300754648,
2023-06-30 11:45:35+00:00,Kraken,BSNZYM6-5QJOSW-ENK2ZU,ledger,withdrawal,USDT,,,-369637.4,,,2.5,USDT,-340177.9864,2.300754648,
2023-06-30 12:01:55+00:00,Kraken,BSHXX5C-3FDCJE-ZSCPMU,ledger,withdrawal,USDC,,,-4978.99,,,2.5,USDC,-4582.173753,2.300754648,
2023-06-30 13:25:00+00:00,Kraken,Q4N3Y6N-DEIT4R-2IRPMD,ledger,deposit,USDT,,,30,,,0,,27.60905577,,
2023-06-30 13:55:52+00:00,Kraken,Q4NZ4II-UJY23A-2DJX4B,ledger,deposit,USDT,,,10970,,,0,,10095.71139,,
2023-06-30 14:17:34+00:00,Kraken,BSNKVP5-LYNYX4-64AV3P,ledger,withdrawal,USDT,,,-10835,,,2.5,USDT,-9971.470642,2.300754648,
2023-06-30 15:49:34+00:00,Kraken,RSO66FT-FPQFAY-7GTCNH,ledger,deposit,USDT,,,40583.04,,,0,,37348.64716,,
2023-06-30 15:54:39+00:00,Kraken,BSNPXGP-5DHDVO-VXMGE6,ledger,withdrawal,USDT,,,-40128,,,2.5,USDT,-36929.873,2.300754648,
2023-06-30 17:05:54+00:00,Kraken,BSNWNLQ-3372L5-UB23X7,ledger,withdrawal,USDT,,,-5992.64,,,2.5,USDT,-5515.037732,2.300754648,
2023-07-01 12:27:15+00:00,Kraken,BSN656G-HDLRU7-Q2QCEF,ledger,withdrawal,USDT,,,-7.5,,,2.5,USDT,-6.902263943,2.300754648,
2023-07-03 09:03:14+00:00,Kraken,Q4NQFAZ-WO6OAN-JTRA44,ledger,deposit,USDT,,,20,,,0,,18.35030736,,
2023-07-03 09:33:55+00:00,Kraken,Q4N2D6Z-MPTCXR-N3Z5RI,ledger,deposit,USDT,,,344698.79,,,0,,316266.4372,,
2023-07-03 09:43:54+00:00,Kraken,BSNZM5S-3PBYN6-NSLI7D,ledger,withdrawal,USDT,,,-12.5,,,2.5,USDT,-11.4689421,2.29378842,
2023-07-03 10:10:54+00:00,Kraken,BSNVQQH-FA2M6F-SMEUIV,ledger,withdrawal,USDT,,,-342209.11,,,2.5,USDT,-313982.1175,2.29378842,
2023-07-03 12:27:03+00:00,Kraken,Q4NYA57-DQJ7FO-VUGAFQ,ledger,deposit,USDT,,,100,,,0,,91.7515368,,
2023-07-03 12:37:47+00:00,Kraken,RSONSBE-W4BEPB-JXDPFP,ledger,deposit,USDT,,,20,,,0,,18.35030736,,
2023-07-03 12:43:38+00:00,Kraken,RSO5RWF-23TSYS-AVH56V,ledger,deposit,USDT,,,30830,,,0,,28286.9988,,
2023-07-03 12:59:08+00:00,Kraken,Q4NWSTN-CUEBOI-OQDE55,ledger,deposit,USDT,,,72900,,,0,,66886.87033,,
2023-07-03 13:30:19+00:00,Kraken,A4NAA6N-43GTKJ-7ACQB7,ledger,withdrawal,USDT,,,-61084,,,5,USDT,-56045.50874,4.58757684,
2023-07-03 13:44:04+00:00,Kraken,Q4MNWUE-S7CQU4-VGYT76,ledger,deposit,USDC,,,20.0102,,,0,,18.35966602,,
2023-07-03 14:02:51+00:00,Kraken,Q4MXIDL-FBY2JL-24F3LO,ledger,deposit,USDC,,,206415.0337,,,0,,189388.9656,,
2023-07-03 14:22:54+00:00,Kraken,BSHWP7H-TUDRML-OYURER,ledger,withdrawal,USDC,,,-10,,,2.5,USDC,-9.17515368,2.29378842,
2023-07-03 14:30:14+00:00,Kraken,BSHKVQD-LOYAMQ-GOCUNT,ledger,withdrawal,USDC,,,-206426.0539,,,2.5,USDC,-189399.0768,2.29378842,
2023-07-03 17:56:54+00:00,Kraken,BSNCO3P-PJIQYG-NCGF5J,ledger,withdrawal,USDT,,,-9997.5,,,2.5,USDT,-9172.859892,2.29378842,
2023-07-04 08:53:34+00:00,Kraken,RSOBM3B-WRHEWM-LQTKGG,ledger,deposit,USDT,,,78608.04,,,0,,72150.5645,,
2023-07-04 08:58:39+00:00,Kraken,BSN4AVJ-LJOL57-5EDJRX,ledger,withdrawal,USDT,,,-10,,,2.5,USDT,-9.17852226,2.294630565,
2023-07-04 09:10:59+00:00,Kraken,BSN2IVR-JGK4SM-KFATX5,ledger,withdrawal,USDT,,,-78043.49,,,2.5,USDT,-71632.39102,2.294630565,
2023-07-04 09:25:59+00:00,Kraken,BSNXFGG-HNJDAT-H543KX,ledger,withdrawal,USDT,,,-30827.5,,,2.5,USDT,-28295.0895,2.294630565,
2023-07-04 14:35:08+00:00,Kraken,RSOXOEF-ZZVJOD-AHBCWG,ledger,deposit,USDT,,,94907.8,,,0,,87111.33549,,
2023-07-04 14:40:02+00:00,Kraken,BSNKGST-K6GPS4-NKYPRU,ledger,withdrawal,USDT,,,-56497.5,,,2.5,USDT,-51856.35614,2.294630565,
2023-07-04 14:46:08+00:00,Kraken,BSNR5DG-6JJEHA-OFSJGA,ledger,withdrawal,USDT,,,-10,,,2.5,USDT,-9.17852226,2.294630565,
2023-07-04 15:07:42+00:00,Kraken,BSNP3QR-DQT23R-2HDQWP,ledger,withdrawal,USDT,,,-37475,,,2.5,USDT,-34396.51217,2.294630565,
2023-07-04 15:29:28+00:00,Kraken,BSNRHHC-HMHNQ5-QLJ43M,ledger,withdrawal,USDT,,,-5978.03,,,2.5,USDT,-5486.948143,2.294630565,
2023-07-05 10:00:43+00:00,Kraken,RSOFFXF-GANGW6-OQOQCG,ledger,deposit,USDT,,,184587.09,,,0,,169672.8469,,
2023-07-05 10:49:22+00:00,Kraken,BSNDDRT-4QXS6F-X26LY6,ledger,withdrawal,USDT,,,-183755,,,2.5,USDT,-168907.9879,2.298005333,
2023-07-05 12:09:37+00:00,Kraken,RSO7LET-HIN6YA-AGEMI2,ledger,deposit,USDT,,,10000,,,0,,9192.02133,,
2023-07-05 14:20:42+00:00,Kraken,BSNVRZ4-SWIA3Y-AKFT3U,ledger,withdrawal,USDT,,,-10,,,2.5,USDT,-9.19202133,2.298005333,
2023-07-05 15:18:14+00:00,Kraken,RSO56SY-2EPUCB-ZIW5BX,ledger,deposit,USDT,,,68723.42,,,0,,63170.71425,,
2023-07-05 15:27:22+00:00,Kraken,BSNA3XJ-A7MKQC-DUDYFZ,ledger,withdrawal,USDT,,,-36720.65351,,,2.5,USDT,-33753.70303,2.298005333,
2023-07-05 15:33:02+00:00,Kraken,BSNVMUF-5TOEGJ-6ZKCBE,ledger,withdrawal,USDT,,,-31194.32,,,2.5,USDT,-28673.88548,2.298005333,
2023-07-05 15:34:31+00:00,Kraken,RSON7K5-WLRJIP-ARMY3P,ledger,deposit,USDT,,,40720.88,,,0,,37430.71975,,
2023-07-05 15:45:02+00:00,Kraken,A4NUX73-RTRT5Y-TRTOFK,ledger,withdrawal,USDT,,,-40105.06909,,,5,USDT,-36864.66505,4.596010665,
2023-07-05 17:22:22+00:00,Kraken,BSNEYVV-XHIQL5-PU4HPT,ledger,withdrawal,USDT,,,-10,,,2.5,USDT,-9.19202133,2.298005333,
2023-07-05 17:26:02+00:00,Kraken,BSNVXAQ-TIJFST-3AENJ6,ledger,withdrawal,USDT,,,-147.5,,,2.5,USDT,-135.5823146,2.298005333,
2023-07-05 17:29:22+00:00,Kraken,BSN36ER-CDWACN-HN74Z2,ledger,withdrawal,USDT,,,-12066.3474,,,2.5,USDT,-11091.41227,2.298005333,
2023-07-06 09:43:29+00:00,Kraken,RSOXYSJ-RJ65SW-64OC44,ledger,deposit,USDT,,,3924.1,,,0,,3600.422056,,
2023-07-06 13:04:02+00:00,Kraken,A4NRZ4C-P7GHMA-QYLPJB,ledger,withdrawal,USDT,,,-10,,,5,USDT,-9.17515368,4.58757684,
2023-07-06 13:11:22+00:00,Kraken,A4NJUPD-CY7MOA-5DOUGT,ledger,withdrawal,USDT,,,-3864.48,,,5,USDT,-3545.719789,4.58757684,
2023-07-06 14:35:26+00:00,Kraken,RSORLDB-665LCE-PLPA5X,ledger,deposit,USDT,,,99589.58,,,0,,91374.97014,,
2023-07-06 14:40:22+00:00,Kraken,BSNS7NR-7YU7JG-IYAW56,ledger,withdrawal,USDT,,,-49180.25,,,2.5,USDT,-45123.63518,2.29378842,
2023-07-06 14:58:04+00:00,Kraken,BSNBCOF-YY2CH6-5BMIJE,ledger,withdrawal,USDT,,,-37866.45,,,2.5,USDT,-34743.04981,2.29378842,
2023-07-06 15:04:22+00:00,Kraken,A4NDQN7-UIZC7O-TBLTBL,ledger,withdrawal,USDT,,,-11552.02,,,5,USDT,-10599.15588,4.58757684,
2023-07-07 12:13:50+00:00,Kraken,RSOYPU2-7LIK5O-NQEFOE,ledger,deposit,USDT,,,49918.55,,,0,,45847.30897,,
2023-07-07 12:51:51+00:00,Kraken,BSNTI5Q-ABBCUJ-M7ON4P,ledger,withdrawal,USDT,,,-40920.75,,,2.5,USDT,-37583.34865,2.296105805,
2023-07-07 13:02:45+00:00,Kraken,A4NKWMQ-QOBV6X-7TJD2P,ledger,withdrawal,USDT,,,-8365.639032,,,5,USDT,-7683.356938,4.59221161,
2023-07-07 13:53:00+00:00,Kraken,RSOJ5MP-4ENYWG-QJJE5Y,ledger,deposit,USDT,,,36459.33,,,0,,33485.7917,,
